Food and Serving,Calories,Calories from Fat,Total Fat,Total Fat,Sodium,Sodium,Potassium,Potassium,Total Carbo-hydrate,Total Carbo-hydrate,Dietary Fiber,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,  Iron  ,Saturated Fat,Saturated Fat,Chole-sterol,Chole-sterol,Food Type
"Asparagus, 5 spears (93 g/3.3 oz)",20,0,0,0,0,0,230,7,4,1,2,8,2,2,10,15,2,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Bell Pepper, 1 medium (148 g/5.3 oz)",25,0,0,0,40,2,220,6,6,2,2,8,4,1,4,190,2,4,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Broccoli, 1 medium stalk (148 g/5.3 oz)",45,0,0.5,1,80,3,460,13,8,3,3,12,2,4,6,220,6,6,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Carrot, 1 carrot, 7"" long, 1 1/4"" diameter (78 g/2.8 oz)",30,0,0,0,60,3,250,7,7,2,2,8,5,1,110,10,2,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cauliflower, 1/6 medium head (99 g/3.5 oz)",25,0,0,0,30,1,270,8,5,2,2,8,2,2,0,100,2,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Celery, 2 medium stalks (110 g/3.9 oz)",15,0,0,0,115,5,260,7,4,1,2,8,2,0,10,15,4,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Cucumber, 1/3 medium (99 g/3.5 oz)",10,0,0,0,0,0,140,4,2,1,1,4,1,1,4,10,2,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
"Green (Snap) Beans, 3/4 cup cut (83 g/3.0 oz)",20,0,0,0,0,0,200,6,5,2,3,12,2,1,4,10,4,2,,,,,"Vegetables, Serving Size (gram weight/ ounce weight)"
